pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
HSP90 chaperone cycle for steroid hormone receptors (SHR),Reactome,0,,20 (20),1,1,2,HMDB00063;HMDB01830,10 (12),0.0164,0.373,0.0838,0.442
HDL remodeling,Reactome,0,,9 (9),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,10 (13),0.0164,0.373,0.0838,0.442
Plasma lipoprotein remodeling,Reactome,0,,26 (26),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,10 (16),0.0164,0.373,0.0838,0.442
Choline metabolism in cancer - Homo sapiens (human),KEGG,0,,98 (98),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,10 (11),0.0164,0.373,0.0838,0.442
mitochondrial L-carnitine shuttle,HumanCyc,0,,6 (6),1,1,2,HMDB00201;HMDB00062,10 (12),0.0164,0.373,0.0838,0.442
Regulation of actin cytoskeleton - Homo sapiens (human),KEGG,2,ITGA11;CXCL12,218 (218),0.419,1,1,HMDB00895,2 (5),0.0402,0.639,0.0857,0.45
Nectin adhesion pathway,PID,2,PVR;NECTIN2,31 (31),0.0174,1,0,,2 (2),1,1,0.0881,0.457
Adherens junctions interactions,Reactome,2,PVR;NECTIN2,31 (31),0.0174,1,0,,1 (2),1,1,0.0881,0.457
Phospholipid metabolism,Reactome,0,,213 (213),1,1,4,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938;HMDB00895;HMDB10164,50 (104),0.0175,0.396,0.0883,0.457
SHC1 events in ERBB2 signaling,Reactome,1,ERBB3,22 (22),0.135,1,1,HMDB10164,7 (8),0.134,1,0.0905,0.467
Syndecan-4-mediated signaling events,PID,2,CXCL12;TFPI,32 (32),0.0185,1,0,,2 (2),1,1,0.0924,0.474
Urea cycle and metabolism of arginine_ proline_ glutamate_ aspartate and asparagine,EHMN,1,AOC3,105 (105),0.5,1,5,HMDB00641;HMDB00201;HMDB00162;HMDB00517;HMDB00191,93 (125),0.0384,0.639,0.0951,0.474
Lactose synthesis,Reactome,1,B4GALT1,3 (3),0.0195,1,0,,4 (4),1,1,0.0964,0.474
tetrahydrobiopterin <i>de novo</i> biosynthesis,HumanCyc,1,PTS,3 (3),0.0195,1,0,,9 (11),1,1,0.0964,0.474
MET activates STAT3,Reactome,1,HGF,3 (3),0.0195,1,0,,2 (2),1,1,0.0964,0.474
Sphingolipid signaling pathway - Homo sapiens (human),KEGG,1,SMPD1,119 (119),0.544,1,2,HMDB00277;HMDB13464,15 (15),0.0359,0.625,0.0964,0.474
Keratan sulfate/keratin metabolism,Reactome,2,B4GAT1;B4GALT1,33 (33),0.0196,1,0,,12 (19),1,1,0.0968,0.474
Acetylcholine Synthesis,Wikipathways,0,,7 (7),1,1,2,HMDB00895;HMDB0007982#HMDB0007938,11 (11),0.0198,0.423,0.0974,0.474
methionine degradation,HumanCyc,0,,6 (6),1,1,2,HMDB00092;HMDB00043,11 (11),0.0198,0.423,0.0974,0.474
glycine betaine degradation,HumanCyc,0,,5 (5),1,1,2,HMDB00092;HMDB00043,11 (11),0.0198,0.423,0.0974,0.474
Ca-dependent events,Reactome,0,,39 (39),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,11 (11),0.0198,0.423,0.0974,0.474
Amoebiasis - Homo sapiens (human),KEGG,0,,101 (102),1,1,2,HMDB10164;HMDB00517,11 (13),0.0198,0.423,0.0974,0.474
ABC-family proteins mediated transport,Reactome,0,,58 (58),1,1,2,HMDB13464;HMDB0007982#HMDB0007938,11 (20),0.0198,0.423,0.0974,0.474
asparagine biosynthesis,HumanCyc,0,,3 (3),1,1,2,HMDB00641;HMDB00191,11 (11),0.0198,0.423,0.0974,0.474
VEGFR1 specific signals,PID,1,PGF,29 (29),0.174,1,1,HMDB00517,6 (6),0.116,1,0.0988,0.474
15q13.3 copy number variation syndrome,Wikipathways,0,,32 (32),1,1,1,HMDB00895,1 (3),0.0203,0.423,0.0994,0.474
PI and PC transport between ER and Golgi membranes,Reactome,0,,1 (1),1,1,1,HMDB0007982#HMDB0007938,1 (2),0.0203,0.423,0.0994,0.474
Muscarinic acetylcholine receptors,Reactome,0,,5 (5),1,1,1,HMDB00895,1 (1),0.0203,0.423,0.0994,0.474
Nuclear receptors,Wikipathways,0,,38 (38),1,1,1,HMDB01830,1 (5),0.0203,0.423,0.0994,0.474
Nicotine Activity on Dopaminergic Neurons,Wikipathways,1,DDC,21 (21),0.129,1,1,HMDB00158,9 (9),0.169,1,0.105,0.496
corticosteroids and cardioprotection,BioCarta,1,CXCL12,27 (27),0.163,1,1,HMDB00517,7 (8),0.134,1,0.105,0.496
Vesicle-mediated transport,Reactome,2,ALPP;IGF2R,617 (617),0.917,1,3,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB10164;HMDB0007982#HMDB0007938,31 (66),0.0238,0.474,0.105,0.496
RET signaling,Reactome,2,GFRA2;RET,35 (35),0.0219,1,0,,2 (2),1,1,0.106,0.496
Parkinson_s disease pathway,Wikipathways,1,DDC,71 (71),0.374,1,1,HMDB00158,3 (4),0.0597,0.823,0.107,0.5
Rheumatoid arthritis - Homo sapiens (human),KEGG,3,CXCL12;CD28;TNFSF13,92 (93),0.0224,1,0,,3 (3),1,1,0.108,0.501
Amino Acid conjugation,Reactome,0,,9 (9),1,1,2,HMDB00641;HMDB0000714,12 (16),0.0234,0.474,0.111,0.509
Cortisol synthesis and secretion - Homo sapiens (human),KEGG,0,,65 (65),1,1,2,HMDB01830;HMDB00063,12 (12),0.0234,0.474,0.111,0.509
Conjugation of carboxylic acids,Reactome,0,,9 (9),1,1,2,HMDB00641;HMDB0000714,12 (16),0.0234,0.474,0.111,0.509
Thiamine metabolism - Homo sapiens (human),KEGG,1,ALPP,15 (16),0.0939,1,1,HMDB00158,14 (31),0.25,1,0.112,0.509
Systemic lupus erythematosus - Homo sapiens (human),KEGG,1,CD28,134 (136),0.587,1,1,HMDB10164,2 (3),0.0402,0.639,0.112,0.509
Sphingolipid de novo biosynthesis,Reactome,0,,41 (41),1,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,31 (35),0.0238,0.474,0.113,0.509
triacylglycerol degradation,HumanCyc,0,,15 (15),1,1,3,HMDB01388;HMDB00673;HMDB01999,31 (54),0.0238,0.474,0.113,0.509
Trans-sulfuration and one-carbon metabolism,Wikipathways,0,,31 (31),1,1,3,HMDB00895;HMDB00092;HMDB00043,31 (33),0.0238,0.474,0.113,0.509
Tryptophan metabolism,EHMN,1,AOC3,22 (22),0.135,1,3,HMDB00197;HMDB10351;HMDB00929,72 (78),0.178,1,0.114,0.51
Formation of Fibrin Clot (Clotting Cascade),Reactome,2,F7;TFPI,37 (37),0.0244,1,0,,1 (14),1,1,0.115,0.513
Metabolism of Angiotensinogen to Angiotensins,Reactome,1,ATP6AP2,18 (18),0.112,1,1,HMDB00517,12 (28),0.219,1,0.115,0.513
G alpha (q) signalling events,Reactome,0,,221 (221),1,1,4,HMDB01388;HMDB01999;HMDB00895;HMDB00517,56 (64),0.0255,0.504,0.119,0.526
Pathways in cancer - Homo sapiens (human),KEGG,5,RET;HGF;CXCL12;PGF;ZBTB17,531 (531),0.268,1,2,HMDB01830;HMDB00063,26 (31),0.0965,1,0.12,0.526
Digestion,Reactome,0,,22 (22),1,1,3,HMDB00138;HMDB0000619;HMDB0000518,32 (42),0.0259,0.508,0.121,0.526
MET Receptor Activation,Reactome,1,HGF,4 (4),0.0259,1,0,,3 (3),1,1,0.121,0.526
MET activates PTK2 signaling,Reactome,1,HGF,4 (4),0.0259,1,0,,2 (2),1,1,0.121,0.526
phenylethylamine degradation I,HumanCyc,1,AOC3,4 (4),0.0259,1,0,,10 (10),1,1,0.121,0.526
Metabolism of steroid hormones,Reactome,1,HSD11B1,31 (31),0.185,1,2,HMDB00063;HMDB01830,33 (35),0.144,1,0.123,0.533
NAD+ biosynthetic pathways,Wikipathways,0,,22 (22),1,1,2,HMDB00855;HMDB00929,13 (13),0.0274,0.519,0.126,0.535
eicosapentaenoate biosynthesis,HumanCyc,0,,13 (13),1,1,2,HMDB01388;HMDB01999,13 (17),0.0274,0.519,0.126,0.535
Choline catabolism,Reactome,0,,6 (6),1,1,2,HMDB00092;HMDB00043,13 (15),0.0274,0.519,0.126,0.535
Beta Oxidation of Very Long Chain Fatty Acids,SMPDB,0,,10 (10),1,1,2,HMDB00201;HMDB00062,13 (14),0.0274,0.519,0.126,0.535
Adrenoleukodystrophy_ X-linked,SMPDB,0,,10 (10),1,1,2,HMDB00201;HMDB00062,13 (14),0.0274,0.519,0.126,0.535
Carnitine-acylcarnitine translocase deficiency,SMPDB,0,,10 (10),1,1,2,HMDB00201;HMDB00062,13 (14),0.0274,0.519,0.126,0.535
PI5P_ PP2A and IER3 Regulate PI3K/AKT Signaling,Reactome,3,ERBB3;HGF;CD28,100 (100),0.0279,1,0,,7 (12),1,1,0.128,0.535
Tryptophan metabolism - Homo sapiens (human),KEGG,1,DDC,42 (42),0.242,1,3,HMDB10351;HMDB00197;HMDB00929,59 (83),0.116,1,0.128,0.535
Cellular response to chemical stress,Reactome,0,,99 (99),1,1,3,HMDB01388;HMDB00673;HMDB01999,33 (41),0.0281,0.526,0.128,0.535
Vitamin B3 (nicotinate and nicotinamide) metabolism,EHMN,0,,47 (47),1,1,3,HMDB00641;HMDB00855;HMDB00517,33 (36),0.0281,0.526,0.128,0.535
Digestion and absorption,Reactome,0,,26 (26),1,1,3,HMDB00138;HMDB0000619;HMDB0000518,33 (45),0.0281,0.526,0.128,0.535
Post-translational protein modification,Reactome,12,B4GAT1;LYPD3;MDGA1;F7;AFP;ASGR1;VWA1;LHB;PCSK9;B4GALT1;CKAP4;IGFBP3,1425 (1425),0.22,1,4,HMDB00641;HMDB00158;HMDB00063;HMDB0000619,96 (182),0.128,1,0.129,0.535
PI3K-Akt signaling pathway - Homo sapiens (human),KEGG,6,ITGA11;HGF;PGF;ERBB3;TCL1A;OSMR,353 (354),0.0282,1,0,,3 (4),1,1,0.129,0.535
Beta-Alanine Metabolism,SMPDB,1,AOC3,9 (9),0.0575,1,1,HMDB00191,34 (34),0.504,1,0.132,0.538
Carnosinuria_ carnosinemia,SMPDB,1,AOC3,9 (9),0.0575,1,1,HMDB00191,34 (34),0.504,1,0.132,0.538
Ureidopropionase deficiency,SMPDB,1,AOC3,9 (9),0.0575,1,1,HMDB00191,34 (34),0.504,1,0.132,0.538
GABA-Transaminase Deficiency,SMPDB,1,AOC3,9 (9),0.0575,1,1,HMDB00191,34 (34),0.504,1,0.132,0.538
Downstream signaling events of B Cell Receptor (BCR),Reactome,1,NFATC3,33 (33),0.195,1,1,HMDB10164,8 (10),0.152,1,0.134,0.544
Tryptophan metabolism,Wikipathways,1,DDC,42 (42),0.242,1,2,HMDB10351;HMDB00929,30 (38),0.123,1,0.134,0.544
Transport of vitamins_ nucleosides_ and related molecules,Reactome,0,,44 (44),1,1,4,HMDB00673;HMDB00138;HMDB0000619;HMDB0000518,59 (63),0.0303,0.548,0.136,0.545
Bile acid and bile salt metabolism,Reactome,0,,43 (43),1,1,4,HMDB00138;HMDB03533;HMDB0000619;HMDB0000518,59 (79),0.0303,0.548,0.136,0.545
Canavan Disease,SMPDB,0,,14 (14),1,1,3,HMDB00641;HMDB00191;HMDB00517,34 (34),0.0304,0.548,0.136,0.545
Hypoacetylaspartia,SMPDB,0,,14 (14),1,1,3,HMDB00641;HMDB00191;HMDB00517,34 (34),0.0304,0.548,0.136,0.545
Aspartate Metabolism,SMPDB,0,,14 (14),1,1,3,HMDB00641;HMDB00191;HMDB00517,34 (34),0.0304,0.548,0.136,0.545
Stabilization and expansion of the E-cadherin adherens junction,PID,2,HGF;NECTIN2,42 (42),0.0308,1,0,,3 (3),1,1,0.138,0.547
Graft-versus-host disease - Homo sapiens (human),KEGG,2,KIR3DL1;CD28,42 (42),0.0308,1,0,,2 (2),1,1,0.138,0.547
Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism,Wikipathways,1,HSD11B1,14 (14),0.0879,1,1,HMDB01830,21 (29),0.351,1,0.138,0.547
Calcium signaling pathway - Homo sapiens (human),KEGG,3,ERBB3;HGF;RET,239 (240),0.206,1,1,HMDB00277,8 (11),0.152,1,0.14,0.548
NAD+ metabolism,Wikipathways,0,,16 (16),1,1,2,HMDB00855;HMDB00929,14 (14),0.0315,0.558,0.14,0.548
citrulline-nitric oxide cycle,HumanCyc,0,,5 (5),1,1,2,HMDB00191;HMDB00517,14 (14),0.0315,0.558,0.14,0.548
Carnitine synthesis,Reactome,0,,4 (4),1,1,2,HMDB06831;HMDB01325,14 (17),0.0315,0.558,0.14,0.548
Monoamine Transport,Wikipathways,1,NECTIN2,32 (32),0.19,1,1,HMDB00929,9 (13),0.169,1,0.142,0.553
PI3K/AKT Signaling in Cancer,Reactome,3,ERBB3;HGF;CD28,106 (106),0.0323,1,0,,5 (21),1,1,0.143,0.554
spermine and spermidine degradation I,HumanCyc,1,AOC3,5 (5),0.0323,1,0,,13 (13),1,1,0.143,0.554
Developmental Biology,Reactome,9,SEMA7A;DSG3;CXCL12;ROBO2;EPHA10;GFRA2;PRSS8;ALCAM;RET,676 (676),0.0326,1,0,,20 (30),1,1,0.144,0.555
Metabolism of alpha-linolenic acid,Wikipathways,0,,0 (0),1,1,2,HMDB01388;HMDB00673,14 (17),0.0315,0.558,0.0315,0.558
Nectin/Necl  trans heterodimerization,Reactome,2,PVR;NECTIN2,7 (7),0.000872,0.559,0,,0 (0),1,1,0.000872,0.559
Glycoprotein hormones,Reactome,2,LHB;TSHB,8 (8),0.00116,0.559,0,,0 (0),1,1,0.00116,0.559
Neutrophil degranulation,Reactome,10,CEACAM8;S100P;ATP6AP2;GRN;CLEC5A;GUSB;RETN;IGF2R;B4GALT1;CKAP4,486 (487),0.00126,0.559,0,,0 (0),1,1,0.00126,0.559
Negative regulation of the PI3K/AKT network,Reactome,3,ERBB3;HGF;CD28,107 (107),0.0331,1,0,,8 (14),1,1,0.146,0.56
TP53 Regulates Transcription of Cell Death Genes,Reactome,2,TNFRSF10A;IGFBP3,44 (44),0.0336,1,0,,8 (10),1,1,0.148,0.565
Surfactant metabolism,Reactome,1,CKAP4,26 (26),0.157,1,1,HMDB0007982#HMDB0007938,12 (13),0.219,1,0.15,0.573
DAP12 interactions,Reactome,2,CLEC5A;TREM1,45 (45),0.035,1,0,,5 (7),1,1,0.152,0.579
Biopterin metabolism,EHMN,1,PTS,15 (15),0.0939,1,1,HMDB00158,23 (24),0.377,1,0.154,0.583
Creatine metabolism,Reactome,0,,11 (11),1,1,2,HMDB00517;HMDB00562,15 (15),0.0359,0.625,0.155,0.585
Dopamine metabolism,Wikipathways,1,DDC,13 (13),0.0819,1,1,HMDB00158,29 (33),0.45,1,0.159,0.585
One-carbon metabolism and related pathways,Wikipathways,0,,52 (52),1,1,3,HMDB00043;HMDB00092;HMDB0007982#HMDB0007938,37 (42),0.0378,0.639,0.162,0.585
Metabolic pathway of LDL_ HDL and TG_ including diseases,Wikipathways,1,PCSK9,6 (6),0.0387,1,0,,1 (5),1,1,0.164,0.585
neuroregulin receptor degredation protein-1 controls erbb3 receptor recycling,BioCarta,1,ERBB3,6 (6),0.0387,1,0,,1 (2),1,1,0.164,0.585
MET activates PI3K/AKT signaling,Reactome,1,HGF,6 (6),0.0387,1,0,,3 (4),1,1,0.164,0.585
Transmission across Chemical Synapses,Reactome,1,NAAA,249 (249),0.808,1,4,HMDB00641;HMDB00043;HMDB10164;HMDB00895,69 (78),0.0496,0.759,0.169,0.585
Extracellular matrix organization,Reactome,5,ITGA11;MFAP5;NID1;DDR1;CTSV,287 (287),0.0401,1,0,,21 (30),1,1,0.169,0.585
Peroxiredoxin 2 induced ovarian failure,Wikipathways,0,,6 (6),1,1,1,HMDB01830,2 (4),0.0402,0.639,0.169,0.585
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,Reactome,0,,11 (11),1,1,1,HMDB00895,2 (2),0.0402,0.639,0.169,0.585
Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,Reactome,0,,7 (7),1,1,1,HMDB00895,2 (2),0.0402,0.639,0.169,0.585
ras signaling pathway,BioCarta,0,,20 (20),1,1,1,HMDB0007982#HMDB0007938,2 (2),0.0402,0.639,0.169,0.585
Highly calcium permeable nicotinic acetylcholine receptors,Reactome,0,,9 (9),1,1,1,HMDB00895,2 (2),0.0402,0.639,0.169,0.585
multi-drug resistance factors,BioCarta,0,,6 (6),1,1,1,HMDB0007982#HMDB0007938,2 (2),0.0402,0.639,0.169,0.585
Leucine Stimulation on Insulin Signaling,SMPDB,0,,15 (15),1,1,1,HMDB00687,2 (2),0.0402,0.639,0.169,0.585
Tyrosinemia_ transient_ of the newborn,SMPDB,1,DDC,18 (18),0.112,1,2,HMDB00191;HMDB00158,62 (67),0.361,1,0.17,0.585
Dopamine beta-hydroxylase deficiency,SMPDB,1,DDC,18 (18),0.112,1,2,HMDB00191;HMDB00158,62 (67),0.361,1,0.17,0.585
Tyrosine Metabolism,SMPDB,1,DDC,18 (18),0.112,1,2,HMDB00191;HMDB00158,62 (67),0.361,1,0.17,0.585
Alkaptonuria,SMPDB,1,DDC,18 (18),0.112,1,2,HMDB00191;HMDB00158,62 (67),0.361,1,0.17,0.585
Monoamine oxidase-a deficiency (MAO-A),SMPDB,1,DDC,18 (18),0.112,1,2,HMDB00191;HMDB00158,62 (67),0.361,1,0.17,0.585
Hawkinsinuria,SMPDB,1,DDC,18 (18),0.112,1,2,HMDB00191;HMDB00158,62 (67),0.361,1,0.17,0.585
Tyrosinemia Type I,SMPDB,1,DDC,18 (18),0.112,1,2,HMDB00191;HMDB00158,62 (67),0.361,1,0.17,0.585
Sphingolipid Metabolism,SMPDB,0,,22 (22),1,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,38 (40),0.0405,0.639,0.17,0.585
Gaucher Disease,SMPDB,0,,22 (22),1,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,38 (40),0.0405,0.639,0.17,0.585
Globoid Cell Leukodystrophy,SMPDB,0,,22 (22),1,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,38 (40),0.0405,0.639,0.17,0.585
Metachromatic Leukodystrophy (MLD),SMPDB,0,,22 (22),1,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,38 (40),0.0405,0.639,0.17,0.585
Fabry disease,SMPDB,0,,22 (22),1,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,38 (40),0.0405,0.639,0.17,0.585
Krabbe disease,SMPDB,0,,22 (22),1,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,38 (40),0.0405,0.639,0.17,0.585
cysteine biosynthesis,HumanCyc,0,,8 (8),1,1,2,HMDB00092;HMDB00043,16 (16),0.0405,0.639,0.17,0.585
superpathway of choline degradation to L-serine,HumanCyc,0,,7 (7),1,1,2,HMDB00092;HMDB00043,16 (16),0.0405,0.639,0.17,0.585
PLC beta mediated events,Reactome,0,,50 (50),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,16 (17),0.0405,0.639,0.17,0.585
G-protein mediated events,Reactome,0,,55 (55),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,16 (17),0.0405,0.639,0.17,0.585
Sphingolipid metabolism,Reactome,1,SMPD1,87 (87),0.437,1,3,HMDB00277;HMDB13464;HMDB0007982#HMDB0007938,54 (65),0.0951,1,0.174,0.594
Response to elevated platelet cytosolic Ca2+,Reactome,2,HGF;RARRES2,136 (136),0.224,1,1,HMDB10164,10 (11),0.186,1,0.174,0.594
Cocaine addiction - Homo sapiens (human),KEGG,1,DDC,49 (49),0.276,1,1,HMDB00158,8 (8),0.152,1,0.174,0.595
Necroptosis - Homo sapiens (human),KEGG,2,SMPD1;TNFRSF10A,159 (159),0.28,1,1,HMDB13464,8 (10),0.152,1,0.176,0.599
G alpha (i) signalling events,Reactome,2,CXCL12;CCL28,316 (316),0.617,1,4,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB00277;HMDB00895;HMDB0007982#HMDB0007938,77 (106),0.069,0.917,0.177,0.599
ESR-mediated signaling,Reactome,2,TFF3;CXCL12,216 (217),0.415,1,2,HMDB00277;HMDB00517,27 (30),0.103,1,0.177,0.599
Biosynthesis of unsaturated fatty acids - Homo sapiens (human),KEGG,0,,27 (27),1,1,3,HMDB01388;HMDB00673;HMDB01999,39 (74),0.0432,0.677,0.179,0.601
Alanine Aspartate Asparagine metabolism,INOH,0,,25 (25),1,1,3,HMDB00641;HMDB00191;HMDB00517,39 (45),0.0432,0.677,0.179,0.601
Signaling by VEGF,Reactome,1,PGF,100 (100),0.483,1,2,HMDB00277;HMDB00517,25 (26),0.0902,1,0.18,0.603
urea cycle,HumanCyc,0,,6 (6),1,1,2,HMDB00191;HMDB00517,17 (17),0.0453,0.701,0.185,0.618
Beta-oxidation of pristanoyl-CoA,Reactome,0,,9 (9),1,1,2,HMDB00201;HMDB00824,17 (21),0.0453,0.701,0.185,0.618
Autoimmune thyroid disease - Homo sapiens (human),KEGG,2,TSHB;CD28,52 (53),0.0455,1,0,,3 (4),1,1,0.186,0.619
Neuronal System,Reactome,1,NAAA,391 (391),0.926,1,4,HMDB00641;HMDB00043;HMDB00895;HMDB10164,69 (78),0.0496,0.759,0.187,0.621
Prostaglandin Synthesis and Regulation,Wikipathways,1,HSD11B1,44 (44),0.251,1,1,HMDB01830,10 (12),0.186,1,0.19,0.627
Selenium Micronutrient Network,Wikipathways,1,F7,86 (86),0.433,1,4,HMDB01388;HMDB00673;HMDB01999;HMDB00929,91 (107),0.111,1,0.194,0.639
Heparan sulfate/heparin (HS-GAG) metabolism,Reactome,2,HS6ST1;GUSB,54 (54),0.0487,1,0,,21 (34),1,1,0.196,0.644
ion channels and their functional role in vascular endothelium,BioCarta,1,CXCL12,47 (47),0.266,1,1,HMDB00517,10 (11),0.186,1,0.198,0.649
Phenylalanine_ tyrosine and tryptophan biosynthesis - Homo sapiens (human),KEGG,0,,6 (6),1,1,2,HMDB00158;HMDB00929,18 (34),0.0503,0.761,0.201,0.652
Valine_ leucine and isoleucine biosynthesis - Homo sapiens (human),KEGG,0,,4 (4),1,1,2,HMDB00172;HMDB00687,18 (23),0.0503,0.761,0.201,0.652
Synthesis of UDP-N-acetyl-glucosamine,Reactome,0,,8 (8),1,1,2,HMDB00641;HMDB0000619,18 (21),0.0503,0.761,0.201,0.652
HuR (ELAVL1) binds and stabilizes mRNA,Reactome,1,TNFSF13,8 (8),0.0512,1,0,,2 (3),1,1,0.203,0.659
Glutaminolysis and Cancer,SMPDB,0,,37 (37),1,1,3,HMDB00641;HMDB00191;HMDB00687,42 (44),0.052,0.784,0.206,0.664
Natural killer cell mediated cytotoxicity - Homo sapiens (human),KEGG,3,CD48;KIR3DL1;TNFRSF10A,130 (131),0.0537,1,0,,4 (4),1,1,0.211,0.664
Membrane Trafficking,Reactome,2,ALPP;IGF2R,578 (578),0.897,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,20 (31),0.0609,0.825,0.213,0.664
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Reactome,0,,20 (20),1,1,3,HMDB03533;HMDB0000619;HMDB00138,43 (49),0.0552,0.823,0.215,0.664
Signaling by ERBB4,Reactome,2,ERBB3;CXCL12,58 (58),0.0554,1,0,,7 (9),1,1,0.216,0.664
UMP biosynthesis,HumanCyc,0,,2 (2),1,1,2,HMDB00641;HMDB00191,19 (20),0.0555,0.823,0.216,0.664
Alanine and aspartate metabolism,Wikipathways,0,,12 (12),1,1,2,HMDB00201;HMDB00191,19 (20),0.0555,0.823,0.216,0.664
Signaling by PTK6,Reactome,1,ERBB3,54 (54),0.299,1,1,HMDB00063,10 (10),0.186,1,0.216,0.664
Signaling by Non-Receptor Tyrosine Kinases,Reactome,1,ERBB3,54 (54),0.299,1,1,HMDB00063,10 (10),0.186,1,0.216,0.664
Signaling by ERBB2,Reactome,1,ERBB3,50 (50),0.281,1,1,HMDB10164,11 (15),0.202,1,0.22,0.664
Complement and Coagulation Cascades,Wikipathways,2,F7;TFPI,59 (59),0.0571,1,0,,1 (2),1,1,0.221,0.664
ROBO receptors bind AKAP5,Reactome,1,ROBO2,9 (9),0.0575,1,0,,2 (2),1,1,0.222,0.664
MET activates RAP1 and RAC1,Reactome,1,HGF,9 (9),0.0575,1,0,,2 (2),1,1,0.222,0.664
reversal of insulin resistance by leptin,BioCarta,1,LEPR,9 (9),0.0575,1,0,,1 (2),1,1,0.222,0.664
Sepiapterin reductase deficiency,SMPDB,1,PTS,9 (9),0.0575,1,0,,19 (20),1,1,0.222,0.664
Segawa syndrome,SMPDB,1,PTS,9 (9),0.0575,1,0,,19 (20),1,1,0.222,0.664
Pterine Biosynthesis,SMPDB,1,PTS,9 (9),0.0575,1,0,,19 (20),1,1,0.222,0.664
Dopa-responsive dystonia,SMPDB,1,PTS,9 (9),0.0575,1,0,,19 (20),1,1,0.222,0.664
Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency,SMPDB,1,PTS,9 (9),0.0575,1,0,,19 (20),1,1,0.222,0.664
Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps),SMPDB,1,PTS,9 (9),0.0575,1,0,,19 (20),1,1,0.222,0.664
Hyperphenylalaninemia due to dhpr-deficiency,SMPDB,1,PTS,9 (9),0.0575,1,0,,19 (20),1,1,0.222,0.664
Glycine_ serine_ alanine and threonine metabolism,EHMN,0,,78 (78),1,1,4,HMDB00641;HMDB00092;HMDB00517;HMDB00043,73 (88),0.0589,0.823,0.226,0.664
NAD metabolism_ sirtuins and aging,Wikipathways,0,,11 (11),1,1,1,HMDB00855,3 (4),0.0597,0.823,0.228,0.664
Presynaptic nicotinic acetylcholine receptors,Reactome,0,,12 (12),1,1,1,HMDB00895,3 (3),0.0597,0.823,0.228,0.664
Postsynaptic nicotinic acetylcholine receptors,Reactome,0,,14 (14),1,1,1,HMDB00895,3 (3),0.0597,0.823,0.228,0.664
Acetylcholine binding and downstream events,Reactome,0,,14 (14),1,1,1,HMDB00895,3 (3),0.0597,0.823,0.228,0.664
aspirin triggered resolvin E biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB01999,3 (5),0.0597,0.823,0.228,0.664
Serotonin Transporter Activity,Wikipathways,0,,11 (11),1,1,1,HMDB00929,3 (3),0.0597,0.823,0.228,0.664
Acetylcholine inhibits contraction of outer hair cells,Reactome,0,,5 (5),1,1,1,HMDB00895,3 (3),0.0597,0.823,0.228,0.664
S1P5 pathway,PID,0,,8 (8),1,1,1,HMDB00277,3 (3),0.0597,0.823,0.228,0.664
S1P4 pathway,PID,0,,14 (14),1,1,1,HMDB00277,3 (3),0.0597,0.823,0.228,0.664
Rapid glucocorticoid signaling,PID,0,,8 (8),1,1,1,HMDB00063,3 (3),0.0597,0.823,0.228,0.664
Breast cancer - Homo sapiens (human),KEGG,0,,147 (147),1,1,1,HMDB01830,3 (3),0.0597,0.823,0.228,0.664
